,city id,city,country,lat,lng,temperature,humidity,clouds,wind speed
0,3652764,Puerto Ayora,EC,-0.7393,-90.3518,84.07,74,40,16.11
1,1847947,Shingū,JP,33.7333,135.9833,40.28,70,100,7.45
2,2206939,Bluff,NZ,-46.6,168.3333,55.99,97,100,1.99
3,2630299,Hofn,IS,64.2539,-15.2082,44.6,93,90,17.27
4,5879400,Anchorage,US,61.2181,-149.9003,27.55,80,90,1.79
5,6201424,Mataura,NZ,-46.1927,168.8643,55.99,97,100,1.99
6,2206854,Gisborne,NZ,-38.6533,178.0042,57.99,94,99,1.99
7,1855612,Nara,JP,34.6851,135.8049,38.35,44,100,7.09
8,3833367,Ushuaia,AR,-54.8,-68.3,59.0,58,75,24.16
9,2139521,Noumea,NC,-22.2763,166.4572,76.69,94,90,3.44
10,2281120,Tabou,CI,4.423,-7.3528,79.12,86,81,6.46
11,3369157,Cape Town,ZA,-33.9258,18.4232,71.04,56,20,19.57
12,2155415,New Norfolk,AU,-42.7826,147.0587,50.88,67,100,1.01
13,2521804,Altea,ES,38.5989,-0.0514,53.31,83,47,1.99
14,905846,Mpika,ZM,-11.8343,31.4529,63.01,96,100,2.1
15,5855927,Hilo,US,19.7297,-155.09,64.71,88,90,8.05
16,3685702,Cravo Norte,CO,6.3017,-70.2041,96.33,33,100,11.86
17,3985710,Cabo San Lucas,MX,22.8909,-109.9124,78.96,50,20,5.75
18,3874787,Punta Arenas,CL,-53.15,-70.9167,66.2,45,0,20.71
19,2422924,Boké,GN,10.9409,-14.2967,82.27,51,0,8.43
20,3034639,Arrondissement de Bastia,FR,42.6667,9.3333,50.88,93,40,3.44
21,4032243,Vaini,TO,-21.2,-175.2,77.0,83,40,3.44
22,5848280,Kapaa,US,22.0752,-159.319,73.72,73,90,18.41
23,2455290,Kidal,ML,18.4411,1.4078,70.48,18,0,8.23
24,2123814,Leningradskiy,RU,69.3833,178.4167,-26.41,83,0,1.63
25,2017155,Saskylakh,RU,71.9167,114.0833,-28.21,77,56,4.92
26,556268,Ostrovnoy,RU,68.0531,39.5131,25.95,96,100,8.39
27,2514651,Los Llanos de Aridane,ES,28.6585,-17.9182,58.64,59,75,17.27
28,1490256,Talnakh,RU,69.4865,88.3972,-24.03,85,98,4.74
29,3109718,Santander,ES,43.4647,-3.8044,53.65,87,90,4.61
30,3372707,Ribeira Grande,PT,38.5167,-28.7,59.0,94,75,8.05
31,4020109,Atuona,PF,-9.8,-139.0333,79.57,78,78,13.4
32,610864,Khani,GE,41.9563,42.9566,32.0,93,0,2.3
33,1507390,Dikson,RU,73.5069,80.5464,-13.0,90,98,12.37
34,1015776,Bredasdorp,ZA,-34.5322,20.0403,68.0,68,0,11.5
35,6355222,Yulara,AU,-25.2406,130.9889,68.0,28,3,4.61
36,2126710,Beringovskiy,RU,63.05,179.3167,-24.02,86,98,12.28
37,3883457,Lebu,CL,-37.6167,-73.65,61.27,76,0,17.63
38,1690039,San Fernando,PH,15.0286,120.6898,77.0,88,75,4.61
39,2074865,Carnarvon,AU,-24.8667,113.6333,73.4,83,75,13.8
40,2122104,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,12.2,79,75,4.47
41,5106841,Albany,US,42.6001,-73.9662,39.34,43,98,1.01
42,2034615,Tahe,CN,52.3333,124.7333,6.08,93,100,10.0
43,518246,Novorudnyy,RU,51.5026,58.1873,-11.2,70,75,15.66
44,1268814,Joshīmath,IN,30.5667,79.5667,48.4,45,21,3.33
45,3382160,Cayenne,GF,4.9333,-52.3333,80.6,83,90,17.27
46,2127733,Tomakomai,JP,42.6369,141.6033,18.73,100,75,8.05
47,2208248,Kaitangata,NZ,-46.2817,169.8464,56.52,94,100,1.72
48,2025456,Chernyshevskiy,RU,63.0128,112.4714,-22.5,88,100,2.68
49,3670218,San Andrés,CO,12.5847,-81.7006,82.4,78,75,12.66
50,4030556,Rikitea,PF,-23.1203,-134.9692,78.75,80,97,18.9
51,2075265,Busselton,AU,-33.65,115.3333,60.62,87,0,14.14
52,935215,Saint-Philippe,RE,-21.3585,55.7679,77.68,74,20,3.44
53,2021908,Kokuy,RU,52.2037,117.5529,10.72,93,100,5.23
54,2303287,Bawku,GH,11.0616,-0.2417,84.65,9,0,6.06
55,1526041,Atasū,KZ,48.6814,71.6433,-14.85,90,90,5.82
56,2121385,Severo-Kuril'sk,RU,50.6789,156.125,19.13,88,0,3.38
57,3374210,São Filipe,CV,14.8961,-24.4956,77.95,47,0,18.48
58,3690572,Acandí,CO,8.5063,-77.2778,86.32,65,25,10.33
59,2110560,Yamada,JP,39.4667,141.95,24.71,85,9,9.93
60,2098329,Daru,PG,-9.0763,143.2092,77.31,89,100,8.63
61,3430863,Mar del Plata,AR,-38.0023,-57.5575,80.6,34,0,13.8
62,1651461,Amuntai,ID,-2.4177,115.2494,72.5,95,18,1.21
63,2163355,Hobart,AU,-42.8794,147.3294,53.13,62,90,8.05
64,3893726,Constitución,CL,-35.3333,-72.4167,68.76,58,6,14.0
65,5924351,Clyde River,CA,70.4692,-68.5914,-9.4,77,75,23.02
66,3437920,Itakyry,PY,-24.9333,-55.2167,95.0,41,40,6.91
67,3372745,Rabo de Peixe,PT,37.8,-25.5833,58.19,100,75,10.36
68,1625908,Sungai Raya,ID,0.7,108.9,75.45,86,23,7.11
69,5122534,Jamestown,US,42.097,-79.2353,36.0,83,1,4.79
70,3421719,Narsaq,GL,60.9167,-46.05,32.0,64,20,9.22
71,4513583,Hamilton,US,39.1834,-84.5333,44.28,45,1,8.05
72,3418910,Upernavik,GL,72.7868,-56.1549,6.58,75,70,7.09
73,1515029,Ulaangom,MN,49.9811,92.0667,-7.04,68,0,4.36
74,1529484,Kumul,CN,42.8,93.45,26.65,77,100,17.63
75,1264037,Malpe,IN,13.35,74.7167,80.6,78,20,3.44
76,2180815,Tuatapere,NZ,-46.1333,167.6833,55.99,97,100,1.99
77,2012530,Zhigansk,RU,66.7697,123.3711,-38.34,82,23,2.44
78,546105,Nikolskoye,RU,59.7035,30.7861,33.24,93,75,11.18
79,1283460,Dharān,NP,26.8125,87.2835,66.56,38,2,5.03
80,3699364,Bellavista,PE,-7.0561,-76.5911,91.4,62,40,2.93
81,373303,Juba,SS,4.8517,31.5825,84.52,21,25,2.33
82,2729907,Longyearbyen,SJ,78.2186,15.6401,21.2,68,75,16.11
83,5880054,Barrow,US,71.2906,-156.7887,-23.8,69,1,6.91
84,3466704,Castro,BR,-24.7911,-50.0119,74.28,74,14,7.7
85,2019945,Mishelevka,RU,52.8575,103.1719,-7.13,90,8,5.41
86,6088469,Nipawin,CA,53.3668,-104.0009,-4.0,71,90,16.11
87,4035715,Avarua,CK,-21.2078,-159.775,78.8,94,90,17.27
88,964432,Port Alfred,ZA,-33.5906,26.891,64.0,83,34,5.59
89,2618795,Klaksvík,FO,62.2266,-6.589,46.4,100,90,17.27
90,1650527,Balikpapan,ID,-1.2675,116.8289,77.43,89,12,4.47
91,3407762,Amapá,BR,1.0,-52.0,76.03,94,100,4.79
92,5557293,Sitka,US,57.0531,-135.33,39.2,70,20,5.75
